2013,1,1,12,33.1
2013,1,1,1,34.0
2013,1,1,2,34.0
2013,1,1,3,34.0
2013,1,1,4,34.0
2013,1,1,5,35.1
2013,1,1,6,35.1
2013,1,1,7,35.1
2013,1,1,8,36.0
2013,1,1,9,36.0
2013,1,1,10,36.0
2013,1,1,11,35.1
2013,1,1,12,34.0
2013,1,1,1,33.1
2013,1,1,2,33.1
2013,1,1,3,30.9
2013,1,1,4,30.0
2013,1,1,5,30.0
2013,1,1,6,28.9
2013,1,1,7,26.1
2013,1,1,8,24.1
2013,1,1,9,23.0
2013,1,1,10,21.0
2013,1,1,11,19.9
2013,1,2,12,19.0
2013,1,2,1,18.0
2013,1,2,2,18.0
2013,1,2,3,18.0
2013,1,2,4,18.0
2013,1,2,5,17.1
2013,1,2,6,18.0
2013,1,2,7,19.0
2013,1,2,8,21.0
2013,1,2,9,23.0
2013,1,2,10,26.1
2013,1,2,11,28.9
2013,1,2,12,28.9
2013,1,2,1,28.9
2013,1,2,2,28.0
2013,1,2,3,28.0
2013,1,2,4,26.1
2013,1,2,5,25.0
2013,1,2,6,23.0
2013,1,2,7,21.0
2013,1,2,8,19.9
2013,1,2,9,18.0
2013,1,2,10,14.0
2013,1,2,11,12.0
2013,1,3,12,10.0
2013,1,3,1,10.0
2013,1,3,2,9.0
2013,1,3,3,8.1
2013,1,3,4,8.1
2013,1,3,5,7.0
2013,1,3,6,8.1
2013,1,3,7,8.1
2013,1,3,8,10.0
2013,1,3,9,12.9
2013,1,3,10,16.0
2013,1,3,11,19.0
2013,1,3,12,21.0
2013,1,3,1,23.0
2013,1,3,2,25.0
2013,1,3,3,24.1
2013,1,3,4,23.0
2013,1,3,5,23.0
2013,1,3,6,23.0
2013,1,3,7,24.1
2013,1,3,8,24.1
2013,1,3,9,21.9
2013,1,3,10,21.9
2013,1,3,11,23.0
2013,1,4,12,23.0
2013,1,4,1,23.0
2013,1,4,2,24.1
2013,1,4,3,25.0
2013,1,4,4,23.0
2013,1,4,5,25.0
2013,1,4,6,27.0
2013,1,4,7,28.9
2013,1,4,8,30.0
2013,1,4,9,33.1
2013,1,4,10,35.1
2013,1,4,11,36.0
2013,1,4,12,37.0
2013,1,4,1,37.0
2013,1,4,2,37.0
2013,1,4,3,36.0
2013,1,4,4,36.0
2013,1,4,5,36.0
2013,1,4,6,35.1
2013,1,4,7,34.0
2013,1,4,8,33.1
2013,1,4,9,32.0
